"last_name, first_name","player_id","year","xwoba","xwobacon","xbacon","exit_velocity_avg","launch_angle_avg","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","iz_contact_percent","edge_percent","whiff_percent","swing_percent","pull_percent","straightaway_percent","opposite_percent","f_strike_percent","flyballs_percent","linedrives_percent","sprint_speed"
"Merrifield, Whit","593160","2023",".276",".304",".295","85.1","14.4",2.4,24.3,"94.880835796","91.453019024",69.8,14.5,32.5,30.2,85.1,43.6,19.5,51.1,31.4,40.5,28.1,65.9,25.7,26.1,"28.8"
"Bogaerts, Xander","593428","2023",".318",".341",".311","87.6","7.9",6.1,34.6,"98.476149796","93.284202061",59.1,13.8,25.2,36.7,86.2,42.2,20.4,42.6,36.6,34.6,28.9,60.3,22.6,21.1,"27.6"
"Polanco, Jorge","593871","2023",".348",".428",".349","88.4","21.6",13.8,40.6,"100.221097963","94.291735787",66.6,15.5,28.4,44.5,84.5,40.4,24.9,46.4,41.9,36.4,21.7,62.4,39.2,25.3,"27.6"
"Calhoun, Kole","594777","2023",".303",".346",".303","86.6","19.9",6.6,35.2,"97.942733279","92.974706803",73,15.9,27.3,38.6,84.1,44.3,22.9,48.2,41,40.2,18.9,60.3,32.8,23,"25.0"
"Duvall, Adam","594807","2023",".304",".410",".318","88.8","28.9",13,39.1,"100.072491121","94.161800748",63.7,21.2,34.1,47.7,78.8,43.3,31,48.3,58.1,25.6,16.3,61.8,40,22.3,"27.6"
"Kiermaier, Kevin","595281","2023",".300",".345",".338","86.7","5.6",3.5,33.2,"97.999902837","93.084577651",71.6,21.8,27.4,52.4,77.9,42.2,30.2,49.6,38.4,40.1,21.5,62.5,18.7,21.1,"28.8"
"Wallach, Chad","595453","2023",".292",".409",".335","87.7","16.7",10.8,33,"97.89839551","92.949197755",70.4,23.8,29.9,59.8,74.9,41.8,34.8,50,37.3,34.3,28.4,63.4,30.4,22.5,"24.3"
"Profar, Jurickson","595777","2023",".306",".320",".308","86.5","14.8",4,31.8,"97.18982877","92.606877674",68.8,12.3,25.1,41.6,87.6,42.9,20,47.2,41.2,36.9,21.9,63,24.1,26.7,"25.6"
"Báez, Javier","595879","2023",".279",".334",".310","88","9.4",5.2,39.7,"100.19637776","94.157773958",68.2,21.5,44,46.3,78.3,39.6,32.6,54.8,37.4,38.1,24.5,63.6,23.5,21.4,"28.1"
"Cave, Jake","595909","2023",".277",".341",".293","89.3","15.3",7.6,34.8,"98.602982576","93.425616336",68.2,18.4,30.2,44.8,80.5,41.3,26.7,48.8,31.8,34.1,34.1,58.1,34.8,23.5,"27.6"
