#,Name,Team,Bats,ESPN,YAHOO,G,PA,AB,R,HR,RBI,SB,H,1B,2B,3B,TB,SO,BB,HBP,SF,SH,CS,AVG,OBP,SLG,OPS,BABIP,RazzID
395,DJ Stewart,NYM,L,OF,OF,51,156,134,19.1,6.7,19.8,0.9,29.7,16.5,6.2,0.2,56.5,44.6,17.9,2.7,1.1,0.8,0.4,0.221,0.323,0.421,0.743,0.273,621466
396,Alec Burleson,STL,L,OF,1B/OF,51,155,141,19.1,5.2,19.7,1.3,38.3,25.2,7.5,0.4,62.1,24.2,10.6,1.2,1.1,0.6,0.5,0.271,0.324,0.439,0.763,0.293,676475
397,Adam Duvall,ATL,R,OF,OF,48,154,141,18.7,7.4,22.2,1.1,30.6,16.7,6.0,0.5,59.6,49.6,10.4,1.9,1.2,0.6,0.4,0.218,0.277,0.424,0.702,0.274,10950
398,Corey Julks,HOU,R,OF,OF,51,154,138,18.2,4.5,18.0,4.4,32.7,20.7,7.0,0.4,54.0,38.4,12.6,1.3,1.2,0.9,1.6,0.236,0.302,0.392,0.694,0.292,667452
399,Jake Bauers,MIL,L,1B/OF,1B/OF,50,153,133,17.3,5.6,17.3,2.8,29.0,17.1,5.9,0.4,52.4,46.9,17.1,1.1,1.1,0.9,1.1,0.218,0.308,0.394,0.703,0.286,641343
400,Jesse Winker,WSH,L,DH,DH,49,151,126,18.1,4.1,16.1,0.5,31.6,20.1,7.1,0.2,51.5,29.9,20.6,1.8,1.1,0.7,0.2,0.250,0.359,0.408,0.767,0.294,13590
401,Andruw Monasterio,MIL,R,2B/3B,2B/3B,51,151,132,16.4,2.3,13.9,2.8,32.5,23.3,6.5,0.4,46.8,34.0,15.6,1.5,1.1,0.8,1.2,0.247,0.330,0.355,0.685,0.313,655316
402,Randal Grichuk,ARI,R,OF,OF,50,150,138,16.7,4.6,17.8,1.0,34.5,22.6,6.8,0.5,56.2,33.6,8.6,1.4,1.1,0.7,0.4,0.249,0.297,0.407,0.704,0.296,10243
403,Nick Gonzales,PIT,R,2B,2B/SS,51,150,133,16.3,2.7,14.5,1.1,31.0,20.1,7.0,1.1,48.3,41.5,13.0,2.4,1.1,0.9,0.5,0.233,0.309,0.364,0.674,0.315,693304
404,Jace Peterson,ARI,L,2B/3B,2B/3B,50,149,130,16.1,2.6,14.0,4.1,30.1,21.8,4.5,1.2,45.0,36.0,15.9,1.5,1.1,0.9,1.3,0.232,0.318,0.347,0.665,0.298,12325
