#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP,RazzID
249,Erik Swanson,TOR,RP,R,64.8,0.0,0.0,272.4,64.8,3.3,3.0,0,19,3.82,3.84,1.20,70.8,21.3,56.5,2.4,28.0,30.0,9,35.8,44.3,19.9,0.277,657024
250,Jacob Webb,BAL,RP,R,64.8,0.0,0.0,280.4,64.8,3.2,3.2,0,19,4.28,4.39,1.34,61.9,27.5,59.3,3.1,30.9,33.1,9,38.9,41.2,20.0,0.282,657097
251,Julian Merryweather,CHC,RP,R,64.8,0.0,0.0,272.6,64.8,3.4,2.9,0,19,3.52,3.61,1.24,78.4,26.8,53.4,2.6,25.4,27.5,7,40.8,39.9,19.3,0.293,657240
252,Emmanuel Clase,CLE,RP,R,64.8,0.0,0.0,266.1,64.8,3.5,2.8,35,0,3.15,3.03,1.15,68.4,17.5,56.7,2.2,22.9,25.3,6,52.4,28.6,19.0,0.292,661403
253,Robert Suarez,SD,RP,R,64.8,0.0,0.0,274.2,64.8,3.3,3.1,12,16,3.76,3.67,1.23,70.1,24.9,54.9,2.5,27.8,30.1,8,41.7,38.9,19.4,0.274,663158
254,Tanner Rainey,WSH,RP,R,64.8,0.0,0.0,277.6,64.8,3.0,3.3,0,6,4.29,4.38,1.31,70.0,30.1,54.8,2.7,30.6,32.5,10,33.3,46.8,19.9,0.275,663432
255,James McArthur,KC,RP,R,64.8,0.0,0.0,275.9,64.8,3.2,3.1,5,16,4.09,4.21,1.30,58.6,21.9,62.4,3.6,28.8,31.2,7,44.6,35.5,19.9,0.304,663704
256,Taylor Clarke,MIL,RP,R,64.8,0.0,0.0,275.4,64.8,3.2,3.2,0,19,4.20,4.43,1.29,67.7,22.0,61.4,2.4,29.8,31.8,10,34.6,45.8,19.7,0.288,664199
257,Phil Maton,TB,RP,R,64.8,0.0,0.0,281.1,64.8,3.1,3.2,0,14,4.30,4.39,1.34,64.1,25.4,61.4,4.4,31.4,33.7,9,40.2,39.0,20.7,0.289,664208
258,Alexis Diaz,CIN,RP,R,64.8,0.0,0.0,279.2,64.8,3.3,3.1,35,0,4.35,4.22,1.31,76.4,32.8,52.1,4.1,29.3,31.4,9,36.8,43.2,20.0,0.267,664747
259,Justin Lawrence,COL,RP,R,64.8,0.0,0.0,276.9,64.8,3.3,3.0,10,13,4.35,4.66,1.41,62.3,30.2,61.4,3.3,27.5,29.9,7,46.7,33.4,19.9,0.319,664875
260,Craig Kimbrel,BAL,RP,R,64.8,0.0,0.0,272.9,64.8,3.4,2.9,20,10,3.67,3.62,1.19,79.1,26.9,50.1,3.2,26.5,28.4,8,35.4,44.9,19.7,0.272,6655
261,Camilo Doval,SF,RP,R,64.8,0.0,0.0,272.9,64.8,3.4,2.9,35,0,3.28,3.30,1.22,77.7,27.0,51.8,3.5,24.2,26.5,6,47.1,33.5,19.4,0.290,666808
262,Yennier Cano,BAL,RP,R,64.8,0.0,0.0,273.4,64.8,3.4,2.9,7,19,3.62,3.76,1.30,60.9,23.1,61.2,2.7,26.1,28.7,6,52.2,28.2,19.6,0.304,666974
263,Lucas Erceg,OAK,RP,R,64.8,0.0,0.0,278.8,64.8,3.1,3.2,3,16,3.63,3.87,1.34,76.1,32.4,54.6,3.3,27.1,29.4,7,42.2,38.2,19.6,0.298,668674
264,Carmen Mlodzinski,PIT,RP,R,64.8,0.0,0.0,280.1,64.8,3.1,3.2,0,19,4.32,4.37,1.35,58.9,26.7,61.0,2.5,31.1,33.4,8,41.0,39.2,19.8,0.290,669387
265,John Schreiber,KC,RP,R,64.8,0.0,0.0,276.7,64.8,3.3,3.1,0,16,3.94,4.23,1.32,61.7,25.4,60.4,3.1,27.8,30.1,7,45.0,35.0,20.1,0.304,670167
266,Jason Foley,DET,RP,R,64.8,0.0,0.0,274.6,64.8,3.2,3.1,7,16,3.75,3.76,1.30,56.7,20.2,64.0,2.9,27.3,29.9,6,51.1,29.5,19.4,0.309,671345
267,Tom Cosgrove,SD,RP,L,64.8,0.0,0.0,281.6,64.8,3.2,3.2,0,14,4.10,4.38,1.36,63.0,28.5,59.7,3.6,30.4,32.7,9,40.2,39.4,20.4,0.282,676680
268,Will Vest,DET,RP,R,64.8,0.0,0.0,274.1,64.8,3.3,3.1,0,16,3.63,3.68,1.26,67.5,23.3,58.0,2.6,26.4,28.7,7,45.4,35.0,19.6,0.298,676684
