#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP,RazzID
456,Ethan Small,SF,RP,L,48.6,0.0,0.0,211.2,48.6,2.3,2.4,0,5,4.06,4.57,1.41,46.5,21.5,47.1,2.0,22.6,24.3,6,40.7,38.8,20.4,0.304,663629
457,Thaddeus Ward,WSH,RP,R,48.6,0.0,0.0,214.7,48.6,2.2,2.6,0,5,4.71,4.89,1.47,41.1,23.3,48.0,2.5,25.2,27.1,7,43.7,36.0,20.3,0.295,663658
458,Elvis Peguero,MIL,RP,R,48.6,0.0,0.0,209.4,48.6,2.4,2.4,0,15,4.12,4.27,1.38,44.9,19.4,47.6,2.4,22.0,24.0,6,49.5,30.7,19.8,0.300,665625
459,Anthony Bender,MIA,RP,R,48.6,0.0,0.0,207.4,48.6,2.4,2.3,0,11,3.89,3.91,1.29,50.7,18.8,43.7,2.4,20.8,22.6,5,44.3,36.1,19.6,0.297,669622
460,Jose Hernandez,PIT,RP,L,48.6,0.0,0.0,210.0,48.6,2.4,2.3,0,8,4.06,4.30,1.35,49.0,22.0,43.7,2.1,21.9,23.6,6,40.2,39.8,20.0,0.291,669796
461,Ryan Fernandez,STL,RP,R,48.6,0.0,0.0,209.4,48.6,2.4,2.4,0,5,4.24,4.54,1.39,41.7,18.2,49.2,1.8,23.3,25.1,6,44.3,34.5,21.2,0.305,681676
462,Justin Slaten,BOS,RP,R,48.6,0.0,0.0,211.8,48.6,2.4,2.4,0,5,4.83,5.09,1.46,46.2,22.9,48.1,1.8,24.3,26.0,7,39.4,39.3,21.3,0.307,686580
463,Marc Church,TEX,RP,R,48.6,0.0,0.0,211.2,48.6,2.4,2.4,0,5,4.48,4.81,1.42,49.1,22.0,46.9,2.2,23.2,24.9,7,40.2,38.6,21.2,0.301,687847
464,Mason Miller,OAK,RP,R,48.6,0.0,0.0,198.7,48.6,2.6,2.2,5,12,3.00,2.84,1.06,67.2,18.7,32.9,2.1,16.8,18.1,5,34.3,46.7,19.0,0.263,695243
465,Dylan Covey,PHI,RP,R,44.1,0.0,0.0,210.2,48.5,2.4,2.4,0,4,4.30,4.50,1.42,39.9,18.6,50.1,2.1,23.0,25.0,6,49.1,31.0,19.8,0.306,592229
466,Jimmy Lambert,CHW,RP,R,44.1,0.0,0.0,211.9,48.5,2.1,2.6,0,4,4.76,4.91,1.43,45.2,22.4,47.2,2.0,25.6,27.3,8,36.1,43.9,20.1,0.283,669424
467,Chris Murphy,BOS,SP,L,25.1,5.3,2.1,210.5,48.3,2.5,2.7,0,2,4.82,5.13,1.46,40.6,20.4,49.9,2.4,24.1,25.9,7,42.1,37.8,20.2,0.307,669684
468,Victor Vodnik,COL,RP,R,43.7,0.0,0.0,207.5,48.1,2.4,2.3,0,4,4.55,4.98,1.48,45.5,23.5,47.5,2.1,21.3,23.1,6,46.0,34.2,19.8,0.326,680767
469,Zach McAllister,FA,RP,R,59.9,0.0,0.0,206.0,47.9,2.3,2.4,0,18,4.36,4.54,1.35,45.7,18.4,46.1,2.8,23.2,24.9,7,39.7,39.9,20.3,0.295,2895
470,Luke Little,CHC,RP,L,59.9,0.0,0.0,204.9,47.9,2.5,2.2,0,6,3.46,3.97,1.36,58.3,25.7,39.4,3.2,18.4,20.2,5,46.0,34.2,19.8,0.304,681432
471,Orion Kerkering,PHI,RP,R,59.9,0.0,0.0,201.3,47.9,2.5,2.2,0,9,3.73,3.85,1.25,52.6,18.6,41.3,2.0,19.6,21.3,6,42.1,38.4,19.4,0.289,689147
472,Drew Rucinski,FA,SP,R,22.7,6.5,2.4,200.0,47.4,4.8,5.5,0,0,4.64,4.89,1.41,38.6,14.4,52.3,2.2,24.4,26.1,7,42.2,37.1,20.7,0.302,12499
473,Jose Cisnero,LAA,RP,R,51.8,0.0,0.0,201.9,46.6,2.3,2.3,2,13,4.26,4.46,1.39,48.5,21.7,43.2,2.5,21.6,23.2,6,41.1,39.0,19.9,0.297,6399
474,Johnny Cueto,FA,SP,R,9.7,9.7,3.5,204.1,46.6,2.4,3.0,0,0,5.06,5.14,1.39,32.5,13.1,51.7,2.1,26.2,27.9,8,39.4,39.9,20.8,0.292,6893
475,Isaiah Campbell,BOS,RP,R,42.2,0.0,0.0,198.9,46.4,2.3,2.2,0,4,4.40,4.49,1.37,43.7,18.8,44.7,1.9,21.2,22.9,6,43.7,36.4,19.9,0.302,663462
476,Spencer Turnbull,PHI,SP,R,25.1,5.3,2.3,198.5,46.3,2.5,2.4,0,2,4.26,4.33,1.35,39.8,16.0,46.3,2.4,21.7,23.5,6,46.6,33.2,20.1,0.301,605513
477,Sean Hjelle,SF,SP,R,26.5,4.4,1.8,200.8,46.3,2.3,2.5,0,2,4.22,4.48,1.45,34.4,15.9,51.1,2.9,22.3,24.4,5,53.3,26.6,20.1,0.321,663546
478,Anthony Molina,COL,SP,R,25.1,5.3,2.0,190.7,46.3,2.1,3.0,0,2,5.48,6.53,1.63,27.2,13.2,62.2,1.7,24.7,26.5,8,44.0,34.6,21.3,0.327,683627
479,Nick Burdi,NYY,RP,R,46.2,0.0,0.0,197.4,46.2,2.5,2.1,0,9,3.86,3.84,1.25,55.8,19.8,38.0,2.5,19.8,21.2,6,37.2,43.3,19.5,0.278,595897
480,Jimmy Herget,LAA,RP,R,46.2,0.0,0.0,198.4,46.2,2.2,2.3,0,9,4.69,4.76,1.36,41.2,16.6,46.1,2.3,23.6,25.1,8,37.1,42.6,20.3,0.289,623474
481,Adrian Martinez,OAK,RP,R,46.2,0.0,0.0,198.2,46.2,2.0,2.5,0,7,4.28,4.46,1.35,38.3,15.2,47.0,2.5,22.8,24.5,6,43.9,36.2,19.9,0.299,661309
482,Mason Englert,DET,RP,R,30.8,0.0,0.0,198.0,46.2,2.1,2.4,0,3,4.56,4.63,1.34,38.4,14.9,47.0,2.2,23.7,25.3,7,39.7,40.0,20.3,0.295,669438
483,Chayce McDermott,BAL,RP,R,35.6,2.6,1.0,196.6,46.0,2.4,2.3,0,3,4.19,4.55,1.39,48.1,21.7,42.2,2.0,21.5,23.1,6,39.6,39.3,21.1,0.296,694646
484,Pete Fairbanks,TB,RP,R,51.0,0.0,0.0,188.5,45.9,2.6,1.9,25,3,3.07,2.93,1.11,62.4,18.1,33.1,2.0,15.9,17.3,4,42.5,38.3,19.2,0.275,664126
485,Caleb Thielbar,MIN,RP,L,56.7,0.0,0.0,188.9,45.4,2.4,2.1,0,17,3.50,3.54,1.15,53.1,15.2,36.9,1.6,18.3,19.6,6,34.3,45.7,20.0,0.274,573204
486,Bryan Baker,BAL,RP,R,45.4,0.0,0.0,195.0,45.4,2.3,2.1,3,11,3.96,4.16,1.31,47.7,19.7,40.0,1.9,20.0,21.5,6,38.3,41.9,19.8,0.285,641329
487,Mike Baumann,BAL,RP,R,40.5,0.0,0.0,191.6,44.6,2.2,2.1,0,6,4.03,4.16,1.34,43.0,18.7,41.1,1.8,20.0,21.7,5,43.7,36.5,19.8,0.291,657508
488,Cody Morris,NYY,RP,R,40.5,0.0,0.0,189.6,44.6,2.4,2.0,0,11,3.86,4.03,1.29,50.6,18.8,38.6,1.8,19.1,20.6,6,40.3,39.9,19.8,0.287,663752
489,Nate Pearson,TOR,RP,R,40.5,0.0,0.0,191.4,44.6,2.3,2.1,0,4,3.95,3.98,1.28,51.1,20.4,36.6,2.0,19.9,21.3,6,35.9,44.6,19.5,0.271,663878
490,Yohan Ramirez,NYM,RP,R,40.5,0.0,0.0,197.5,44.6,2.2,2.2,0,4,4.15,4.42,1.42,45.1,20.9,42.5,3.9,21.1,22.9,5,46.5,33.6,19.9,0.300,670990
491,Kyle Nicolas,PIT,RP,R,40.5,0.0,0.0,191.9,44.6,2.2,2.2,0,12,4.23,4.36,1.32,45.9,19.7,39.2,2.5,21.0,22.4,6,35.6,44.7,19.7,0.284,693312
492,Jeffrey Springs,TB,SP,L,8.7,8.7,4.2,185.6,44.4,2.7,2.2,0,0,3.83,3.90,1.20,47.3,13.6,39.8,1.4,19.1,20.6,6,39.5,40.2,20.3,0.283,605488
493,Tommy Kahnle,NYY,RP,R,44.1,0.0,0.0,189.6,44.1,2.3,2.0,0,13,3.86,3.92,1.29,48.4,18.0,38.7,2.0,18.9,20.5,5,44.2,35.9,19.9,0.285,11384
494,Joely Rodriguez,BOS,RP,L,44.1,0.0,0.0,188.6,44.1,2.3,2.0,0,4,4.15,4.50,1.43,40.0,19.2,43.9,1.6,19.0,20.8,5,49.9,29.7,20.4,0.320,11487
495,Carl Edwards Jr.,CHC,RP,R,44.1,0.0,0.0,191.8,44.1,2.1,2.2,3,11,4.46,4.59,1.41,38.8,18.6,43.7,1.7,21.8,23.5,6,42.8,37.0,20.2,0.297,13607
496,Dominic Leone,CHW,RP,R,44.1,0.0,0.0,191.7,44.1,2.0,2.3,0,4,4.47,4.54,1.38,43.5,19.5,41.5,1.6,21.8,23.4,7,38.7,41.4,19.9,0.283,13763
497,Daniel Bard,COL,RP,R,44.1,0.0,0.0,197.3,44.1,2.1,2.3,0,10,5.26,5.50,1.54,39.2,25.7,42.1,2.8,22.6,24.3,6,41.1,38.7,20.2,0.298,453268
498,Scott Effross,NYY,RP,R,44.1,0.0,0.0,189.0,44.1,2.3,2.1,0,13,4.10,4.30,1.32,41.0,14.0,44.0,2.2,20.1,21.7,6,44.2,35.3,20.5,0.299,664123
499,Josh Winder,MIN,RP,R,29.4,0.0,0.0,191.1,44.1,2.1,2.2,0,3,4.40,4.42,1.34,38.6,15.2,44.0,1.8,22.3,23.9,6,39.2,40.9,19.9,0.291,680739
500,Richard Bleier,WSH,RP,L,44.1,0.0,0.0,190.7,44.1,2.0,2.3,0,7,4.37,4.78,1.46,27.1,13.2,51.3,2.0,21.2,23.1,5,52.1,27.1,20.8,0.321,7803
501,Noah Davis,COL,SP,R,14.8,6.6,2.3,194.3,44.0,1.8,3.1,0,1,5.82,6.36,1.57,31.4,19.4,49.8,3.4,24.9,26.6,8,39.8,40.0,20.3,0.319,663562
502,Bruce Zimmermann,BAL,SP,L,23.8,4.0,1.7,184.8,43.8,2.3,2.2,0,2,4.09,4.38,1.29,36.5,10.9,45.5,1.7,19.9,21.5,6,44.4,35.2,20.5,0.302,669145
503,Aaron Loup,FA,RP,L,48.6,0.0,0.0,188.2,43.7,2.2,2.1,0,13,4.08,4.47,1.40,38.6,16.3,44.9,2.5,19.8,21.5,5,45.8,33.9,20.4,0.315,10343
504,Scott Alexander,OAK,RP,L,48.6,0.0,0.0,187.2,43.7,2.0,2.2,0,10,3.78,4.06,1.37,33.5,15.0,44.8,1.7,19.0,20.9,4,53.7,26.1,20.2,0.306,10591
505,John Brebbia,CHW,RP,R,48.6,0.0,0.0,186.1,43.7,2.1,2.2,5,12,4.18,4.15,1.25,45.2,15.3,39.2,1.7,20.2,21.5,7,32.4,47.8,19.8,0.271,605154
506,Tejay Antone,CIN,RP,R,48.6,0.0,0.0,186.6,43.7,2.2,2.1,0,15,4.36,4.52,1.37,43.8,18.2,41.7,2.1,19.8,21.4,6,43.5,36.6,20.0,0.298,622088
507,Adam Cimber,LAA,RP,R,48.6,0.0,0.0,190.6,43.7,2.0,2.3,1,10,4.86,5.11,1.47,29.5,14.5,49.6,2.8,23.1,24.9,6,46.4,32.4,21.2,0.310,643256
508,Zach Jackson,OAK,RP,R,48.6,0.0,0.0,191.2,43.7,2.0,2.3,2,12,4.17,4.27,1.38,48.9,23.1,37.1,1.8,21.0,22.4,6,34.5,45.3,20.2,0.280,667427
509,Dylan Lee,ATL,RP,L,48.6,0.0,0.0,184.7,43.7,2.4,1.9,0,15,4.04,4.22,1.25,44.2,13.5,41.1,1.5,19.4,20.8,6,36.7,43.2,20.1,0.290,669276
510,Adrian Morejon,SD,RP,L,48.6,0.0,0.0,186.6,43.7,2.2,2.1,0,5,4.02,4.23,1.32,44.2,16.9,40.6,1.8,20.1,21.5,6,38.0,42.1,19.9,0.289,670970
511,Carlos Vargas,SEA,RP,R,48.6,0.0,0.0,189.9,43.7,2.2,2.1,0,5,3.89,4.06,1.39,45.2,20.6,40.2,2.0,19.2,21.0,5,50.1,30.6,19.4,0.298,672841
512,Brad Hand,FA,RP,L,48.6,0.0,0.0,189.4,43.7,2.1,2.2,0,7,4.30,4.48,1.37,42.4,18.4,41.4,2.7,20.9,22.4,6,38.5,41.2,20.2,0.295,9111
513,Spencer Howard,SF,RP,R,39.6,0.0,0.0,184.7,43.6,2.1,2.1,0,4,3.96,4.00,1.25,45.7,15.4,39.1,1.9,19.7,21.1,6,37.7,42.5,19.8,0.287,675921
514,Bryce Jarvis,ARI,RP,R,39.6,0.0,0.0,187.6,43.6,2.1,2.1,0,4,4.30,4.32,1.35,39.5,17.1,41.6,1.8,21.0,22.6,5,41.7,38.5,19.8,0.291,686826
515,Beau Brieske,DET,RP,R,39.6,0.0,0.0,185.1,43.6,2.1,2.2,0,12,4.13,4.11,1.23,40.8,13.4,40.3,1.6,20.2,21.6,6,37.2,43.2,19.5,0.280,689225
516,Slade Cecconi,ARI,SP,R,21.1,4.9,1.9,184.3,43.4,2.3,2.4,0,2,4.43,4.58,1.28,36.6,11.3,44.2,2.2,21.5,23.0,6,37.9,42.0,20.1,0.296,677944
517,Osvaldo Bido,OAK,SP,R,23.8,4.0,1.5,185.6,43.0,1.9,2.7,0,2,4.49,4.83,1.39,38.2,18.1,41.8,2.9,22.2,23.7,6,38.2,41.9,20.0,0.291,674370
518,Brent Honeywell,PIT,RP,R,33.0,0.0,0.0,187.7,42.9,2.0,2.2,0,5,4.64,4.79,1.40,33.8,16.2,43.9,2.3,22.1,23.7,6,42.3,37.7,20.0,0.296,641703
519,Alex Young,CIN,RP,L,53.5,0.0,0.0,183.8,42.8,2.1,2.1,0,16,4.49,4.82,1.42,37.7,16.6,44.1,1.7,20.0,21.6,7,44.5,35.0,20.5,0.303,622065
520,Cole Sands,MIN,RP,R,35.7,0.0,0.0,183.4,42.8,2.1,2.1,0,4,4.10,4.20,1.32,42.1,16.4,40.0,2.0,20.1,21.6,5,40.4,39.4,20.2,0.292,663485
521,Mitch White,TOR,RP,R,34.3,1.3,0.5,182.5,42.8,2.2,2.1,0,3,4.11,4.28,1.32,40.2,14.8,41.8,1.7,19.9,21.5,6,41.4,38.6,20.0,0.297,669952
522,Nick Nelson,PHI,RP,R,27.5,3.2,1.2,187.2,42.7,2.2,2.3,0,2,4.66,4.97,1.47,31.4,17.8,44.9,2.2,21.9,23.7,6,47.1,32.9,20.0,0.301,656793
523,Luke Weaver,NYY,RP,R,32.4,0.0,0.0,176.5,42.1,2.2,1.9,0,3,3.93,4.19,1.24,42.1,10.6,41.8,1.6,18.3,19.7,6,37.1,43.2,19.7,0.301,16918
524,Casey Legumina,CIN,RP,R,38.3,0.0,0.0,182.4,42.1,2.0,2.1,0,4,4.85,5.03,1.45,37.1,17.4,43.6,1.8,21.3,22.8,7,42.0,38.0,20.0,0.301,668984
525,Kenny Rosenberg,LAA,SP,L,19.7,3.3,1.4,180.9,42.1,2.3,2.2,0,2,4.39,4.68,1.39,38.5,16.6,42.0,1.8,20.1,21.6,6,41.3,38.2,20.5,0.299,670046
526,Dylan Coleman,HOU,RP,R,51.8,0.0,0.0,181.9,41.4,2.1,1.9,0,16,4.23,4.43,1.41,46.6,23.2,35.2,2.7,19.5,21.0,5,40.4,39.7,19.9,0.284,669395
527,Trevor Bauer,FA,SP,R,8.1,8.1,3.8,165.2,41.3,2.4,2.2,0,0,4.07,3.98,1.19,45.0,13.0,36.4,1.7,18.7,19.9,6,34.9,45.2,19.9,0.278,12703
528,Keegan Thompson,CHC,RP,R,37.3,0.0,0.0,178.1,41.0,1.9,2.1,0,10,4.49,4.58,1.40,39.1,18.5,38.8,2.0,20.5,21.9,6,39.3,40.6,20.2,0.291,624522
529,Cole Winn,TEX,RP,R,28.6,3.1,1.1,174.5,41.0,2.0,2.3,0,3,5.24,6.00,1.66,33.7,20.8,47.1,1.7,22.9,24.4,7,40.4,38.3,21.3,0.306,668390
530,Tim Herrin,CLE,RP,L,37.3,0.0,0.0,174.6,41.0,2.1,1.9,0,4,3.59,3.93,1.33,44.7,17.2,37.2,1.8,16.5,18.0,4,46.4,33.9,19.7,0.304,682120
531,Anthony Veneziano,KC,SP,L,18.5,5.3,2.1,176.9,41.0,2.0,2.4,0,1,4.75,5.06,1.42,31.9,16.0,42.2,2.1,21.1,22.6,6,40.3,39.6,20.1,0.300,685107
532,Jacob Misiorowski,MIL,SP,R,28.6,3.1,1.2,173.0,41.0,2.0,2.3,0,3,4.57,5.18,1.51,41.7,19.6,42.4,2.8,20.6,22.0,6,40.1,38.7,21.2,0.299,694819
533,Ty Madden,DET,SP,R,16.3,6.1,2.5,174.6,40.7,2.0,2.5,0,1,4.54,4.78,1.37,35.5,14.8,41.1,1.8,20.8,22.2,6,40.4,38.5,21.1,0.300,680744
534,Jake Odorizzi,FA,SP,R,8.1,8.1,3.2,176.9,40.5,2.2,2.5,0,0,4.93,5.07,1.39,32.2,13.6,42.7,1.6,22.2,23.6,7,35.6,43.8,20.6,0.291,6397
535,Tony Santillan,CIN,RP,R,36.8,0.0,0.0,177.2,40.5,2.0,2.0,0,7,4.80,5.03,1.46,41.6,20.9,38.4,2.3,20.2,21.6,6,38.1,41.9,20.0,0.294,663574
536,Riley O’Brien,STL,RP,R,40.5,0.0,0.0,176.3,40.5,2.1,1.9,0,4,4.02,4.34,1.42,38.6,19.0,38.4,2.3,18.4,20.0,4,48.4,31.1,20.5,0.307,676617
537,Matt Sauer,KC,RP,R,34.0,1.6,0.6,175.4,40.4,1.9,2.2,0,3,4.65,5.00,1.41,34.9,16.1,40.7,2.4,20.4,21.8,6,39.8,39.0,21.2,0.306,669422
538,Sixto Sanchez,MIA,SP,R,27.5,3.2,1.5,165.7,40.3,2.1,2.0,0,2,3.78,3.91,1.27,41.3,13.3,38.0,1.9,16.8,18.2,4,44.1,36.5,19.4,0.294,664350
539,Luis Gil,NYY,SP,R,23.8,4.0,1.7,170.0,39.8,2.3,1.9,0,2,4.11,4.14,1.29,47.0,18.3,33.1,1.6,18.1,19.4,6,34.4,46.1,19.5,0.274,661563
540,Dylan Floro,WSH,RP,R,44.1,0.0,0.0,171.7,39.7,1.9,2.0,1,9,4.20,4.47,1.42,33.5,14.3,42.2,1.4,18.3,19.9,5,47.9,31.9,20.2,0.321,13394
541,Kolby Allard,PHI,SP,L,21.1,4.9,1.9,170.8,39.7,2.0,2.2,0,2,4.60,4.81,1.36,35.1,14.2,39.9,1.5,20.1,21.4,7,38.2,41.3,20.5,0.292,663465
542,Kelvin Caceres,LAA,RP,R,56.7,0.0,0.0,176.3,39.7,1.9,2.0,0,6,4.58,4.88,1.54,40.5,24.0,37.2,2.5,19.8,21.3,5,44.9,35.1,20.0,0.302,680983
543,Erik Miller,SF,RP,L,39.6,0.0,0.0,174.5,39.6,1.9,2.0,0,4,4.12,4.62,1.47,41.7,21.6,36.7,1.7,18.7,20.1,5,41.2,37.5,21.4,0.305,669062
544,John McMillon,KC,RP,R,39.6,0.0,0.0,171.4,39.6,2.0,1.9,1,8,4.03,4.17,1.35,45.7,22.1,31.6,1.7,17.4,18.7,4,38.0,42.5,19.5,0.286,669111
545,Jonathan Heasley,BAL,RP,R,39.6,0.0,0.0,169.7,39.6,1.9,2.0,0,4,4.58,4.55,1.30,32.7,12.2,39.2,1.7,20.2,21.5,7,37.2,42.8,20.0,0.279,669169
546,Steven Cruz,KC,RP,R,39.6,0.0,0.0,174.0,39.6,1.9,2.0,0,4,4.53,4.82,1.46,38.5,21.9,36.1,2.0,19.5,20.9,5,40.3,39.9,19.8,0.297,674444
547,Caleb Kilian,CHC,SP,R,16.3,6.1,2.4,160.3,39.5,2.0,2.3,0,1,4.49,5.31,1.53,28.6,12.7,48.0,1.8,19.7,21.3,5,46.7,33.1,20.2,0.312,668873
548,Nick Ramirez,NYY,RP,L,35.7,0.0,0.0,170.3,39.3,2.0,1.9,0,4,4.32,4.65,1.40,30.2,12.7,42.2,1.5,18.8,20.4,5,45.7,33.7,20.6,0.303,598286
549,Sammy Peralta,CHW,RP,L,35.7,0.0,0.0,168.8,39.3,1.8,2.0,0,4,4.29,4.68,1.40,32.2,14.6,40.5,1.8,18.7,20.2,6,44.2,35.1,20.7,0.298,671111
550,Zack Kelly,BOS,RP,R,35.7,0.0,0.0,171.7,39.3,1.9,1.9,0,4,4.62,4.85,1.44,36.6,18.6,38.1,2.1,18.9,20.3,5,43.7,36.2,20.1,0.304,677161
551,Grant Hartwig,NYM,RP,R,35.7,0.0,0.0,171.9,39.3,1.9,2.0,0,4,4.23,4.41,1.41,37.3,17.0,38.3,2.3,19.0,20.5,5,44.5,35.5,20.0,0.295,701643
552,Blake Treinen,LAD,RP,R,38.9,0.0,0.0,165.7,38.9,2.1,1.8,0,10,3.88,3.85,1.29,38.8,13.7,36.3,1.8,17.1,18.6,5,45.4,35.0,19.6,0.292,12572
553,Garrett Cleavinger,TB,RP,L,48.6,0.0,0.0,165.0,38.9,2.1,1.8,0,5,3.53,3.51,1.23,49.8,17.7,30.3,1.8,15.5,16.7,4,39.7,40.6,19.7,0.277,664076
554,Dallas Keuchel,FA,SP,L,8.1,8.1,3.2,173.3,38.9,2.0,2.4,0,0,4.66,5.00,1.56,25.1,15.4,45.1,1.4,20.1,22.0,5,53.3,25.5,21.2,0.318,9434
555,Connor Thomas,STL,RP,L,33.0,1.3,0.6,154.0,38.2,7.0,6.9,0,0,3.97,4.83,1.47,24.1,9.7,46.5,1.7,17.2,18.8,4,52.8,26.1,21.2,0.315,671162
556,Ryan Loutos,STL,RP,R,38.2,0.0,0.0,166.6,38.2,1.9,1.9,0,4,4.40,4.80,1.47,31.0,16.3,39.8,1.7,19.0,20.5,5,47.0,31.7,21.3,0.311,702795
557,Connor Phillips,CIN,SP,R,7.9,7.9,3.2,165.1,37.9,2.0,2.3,0,0,4.84,4.96,1.45,39.4,19.7,35.4,1.9,19.1,20.4,6,40.4,40.0,19.6,0.291,683175
558,Julio Teheran,BAL,SP,R,7.4,7.4,3.0,163.4,37.7,2.1,2.3,0,0,4.92,5.01,1.38,27.3,10.9,41.1,2.0,20.6,22.1,7,40.6,38.5,20.9,0.292,6797
559,Matt Koch,COL,RP,R,36.8,0.0,0.0,159.5,36.8,1.7,1.9,0,10,5.47,5.65,1.46,26.6,12.9,40.9,1.8,19.6,20.9,7,39.4,40.3,20.2,0.309,13420
560,Lucas Gilbreath,COL,RP,L,36.8,0.0,0.0,159.5,36.8,1.9,1.8,0,7,4.51,5.07,1.46,35.6,18.5,35.3,1.7,16.1,17.5,5,42.7,37.1,20.2,0.318,656458
561,Matt Bush,FA,RP,R,40.5,0.0,0.0,155.8,36.5,1.8,1.8,0,4,4.15,4.05,1.26,38.4,13.6,32.5,1.6,16.8,18.0,5,38.6,41.9,19.6,0.279,1246
562,Thyago Vieira,MIL,RP,R,24.3,0.0,0.0,154.0,36.5,1.8,1.7,0,2,3.90,3.93,1.24,41.2,14.0,31.4,1.7,15.6,16.8,5,38.5,42.0,19.4,0.279,600986
563,Jackson Stephens,ATL,RP,R,24.3,0.0,0.0,156.4,36.5,1.9,1.7,0,2,4.30,4.42,1.36,32.9,12.8,36.9,1.8,17.3,18.6,5,44.3,35.6,20.0,0.305,623451
564,Oliver Ortega,HOU,RP,R,24.3,0.0,0.0,156.7,36.5,1.9,1.7,0,4,4.23,4.31,1.36,35.6,14.8,34.8,1.7,17.2,18.5,5,43.8,36.4,19.8,0.295,661383
565,Bryan Hudson,MIL,RP,L,24.3,0.0,0.0,155.6,36.5,1.9,1.7,0,2,3.70,4.18,1.36,39.1,15.9,33.9,1.6,14.8,16.2,4,47.7,31.9,20.4,0.307,663542
566,Nick Vespi,BAL,RP,L,24.3,0.0,0.0,156.6,36.5,1.8,1.8,0,2,4.12,4.50,1.37,31.8,13.1,36.9,1.5,16.7,18.1,5,44.1,35.2,20.7,0.304,663989
567,Levi Stoudt,SEA,RP,R,33.0,0.0,0.0,159.7,36.3,1.6,1.9,0,3,4.76,4.93,1.40,30.0,13.1,37.6,1.8,19.6,20.9,6,38.1,42.1,19.8,0.286,686651
568,Austin Adams,NYM,RP,R,51.5,0.0,0.0,157.9,36.1,1.8,1.8,0,15,4.14,4.16,1.32,41.4,16.5,31.2,3.4,17.1,18.3,5,38.4,41.5,20.1,0.284,613534
569,Dauri Moreta,PIT,RP,R,35.7,0.0,0.0,151.7,35.7,1.8,1.7,0,4,4.06,4.02,1.25,38.0,14.8,29.9,1.6,16.1,17.2,5,35.4,44.8,19.8,0.274,664294
570,Collin Snider,SEA,RP,R,35.7,0.0,0.0,160.1,35.7,1.6,1.9,0,9,4.81,5.03,1.55,27.2,17.2,38.3,1.8,19.5,21.0,5,48.5,31.3,20.2,0.303,676092
571,Colin Selby,PIT,RP,R,35.7,0.0,0.0,154.2,35.7,1.8,1.7,0,9,3.99,4.28,1.42,36.6,18.0,32.5,1.7,15.8,17.2,4,45.5,34.9,19.6,0.306,681882
572,Daysbel Hernandez,ATL,RP,R,39.6,0.0,0.0,154.9,35.6,1.9,1.6,0,4,4.25,4.37,1.37,38.8,16.6,32.4,1.6,16.6,17.9,5,39.5,40.6,19.9,0.296,678226
573,Eric Lauer,PIT,SP,L,7.4,7.4,2.7,156.0,35.5,1.7,2.4,0,0,4.99,5.19,1.45,28.6,15.0,36.3,1.2,19.7,20.9,6,35.6,43.8,20.6,0.293,641778
574,Pat Monteverde,MIA,RP,L,27.5,2.0,0.7,148.4,35.5,1.7,2.0,0,3,4.69,5.34,1.47,27.5,12.5,39.6,1.5,18.4,19.6,5,39.3,39.5,21.2,0.302,687287
575,Dennis Santana,NYY,RP,R,29.5,0.0,0.0,154.1,35.4,1.8,1.7,0,9,4.23,4.38,1.39,35.3,16.0,33.1,1.6,16.6,17.9,5,42.9,37.4,19.7,0.290,642701
576,Jeff Brigham,MIN,RP,R,35.3,0.0,0.0,153.8,35.3,1.6,1.8,0,9,4.60,4.58,1.35,35.4,16.0,31.6,1.9,18.6,19.8,5,32.3,47.5,20.2,0.272,656257
577,Bryan Shaw,CHW,RP,R,35.1,0.0,0.0,153.9,35.1,1.6,1.9,0,6,4.52,4.70,1.45,31.5,16.1,34.7,1.9,17.6,18.9,5,44.2,35.6,20.2,0.294,8110
578,Mauricio Llovera,SEA,RP,R,31.6,0.0,0.0,150.4,34.8,1.7,1.8,0,3,4.30,4.38,1.33,33.1,13.0,33.4,1.9,16.9,18.2,5,41.9,38.2,19.9,0.287,661440
579,Geoff Hartlieb,COL,RP,R,23.0,0.0,0.0,149.5,34.5,1.6,1.8,0,7,5.18,5.64,1.53,26.2,15.8,37.1,1.8,17.4,18.8,5,44.5,35.4,20.1,0.319,664129
580,Kyle Hurt,LAD,SP,R,17.2,4.0,1.8,148.1,34.5,2.1,1.5,0,1,3.83,3.91,1.33,39.5,16.0,30.0,1.7,15.0,16.3,4,44.9,35.3,19.8,0.293,669165
581,Luis F. Ortiz,PHI,RP,R,24.3,0.0,0.0,145.1,34.0,1.7,1.7,0,2,4.31,4.52,1.34,28.2,10.9,34.8,1.7,16.1,17.4,5,44.2,35.9,19.9,0.300,656814
582,Calvin Faucher,MIA,RP,R,24.3,0.0,0.0,147.3,34.0,1.6,1.7,0,2,4.39,4.54,1.41,32.1,14.8,33.2,1.3,16.4,17.7,4,43.7,36.4,19.9,0.306,676534
583,Brent Headrick,MIN,SP,L,19.4,3.2,1.3,144.3,33.8,1.8,1.8,0,2,4.22,4.46,1.30,31.5,11.3,32.6,1.6,16.4,17.5,5,36.3,43.3,20.4,0.289,687396
